id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g,season
akerj102,Aker,Jack,R,R,SE1,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,19690408,19690516,1969
baned101,Baney,Dick,R,R,SE1,9,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,19690711,19691002,1969
barbs102,Barber,Steve,L,L,SE1,25,25,16,9,0,0,0,0,0,0,0,0,0,0,0,0,19690413,19691002,1969
bated102,Bates,Dick,L,R,SE1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19690427,19690427,1969
bellg102,Bell,Gary,R,R,SE1,13,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,19690411,19690606,1969
boutj101,Bouton,Jim,R,R,SE1,57,57,1,56,0,0,0,0,0,0,0,0,0,0,0,0,19690409,19690823,1969
brabg101,Brabender,Gene,R,R,SE1,41,40,29,11,0,0,0,0,0,0,0,0,0,0,1,0,19690409,19690930,1969
branb102,Brandon,Bucky,R,R,SE1,8,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,19690430,19690523,1969
brung101,Brunet,George,R,L,SE1,12,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,19690802,19691001,1969
clarr103,Clark,Ron,R,R,SE1,57,0,0,0,0,1,5,15,38,0,0,0,0,0,0,4,19690711,19691002,1969
comew101,Comer,Wayne,R,R,SE1,147,0,0,0,1,0,0,1,0,23,91,46,139,0,14,0,19690408,19691002,1969
davit103,Davis,Tommy,R,R,SE1,123,0,0,0,0,1,0,0,0,112,0,0,112,0,14,0,19690408,19690829,1969
donaj101,Donaldson,John,L,R,SE1,95,0,0,0,0,0,90,2,1,0,0,0,0,0,3,0,19690614,19690930,1969
edgeb101,Edgerton,Bill,L,L,SE1,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19690416,19690425,1969
ferrm101,Ferraro,Mike,R,R,SE1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19690409,19690420,1969
fuenm101,Fuentes,Miguel,R,R,SE1,8,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,19690901,19691002,1969
gelnj101,Gelnar,John,R,R,SE1,40,39,10,29,0,0,0,0,0,0,0,0,0,0,1,0,19690528,19691002,1969
gil-g101,Gil,Gus,R,R,SE1,92,0,0,0,0,0,18,38,12,0,0,0,0,0,40,0,19690413,19691002,1969
goosg101,Goossen,Greg,R,R,SE1,52,0,0,0,0,31,0,0,0,2,0,0,2,0,19,0,19690725,19691002,1969
gosgj101,Gosger,Jim,L,L,SE1,40,0,0,0,0,0,0,0,0,1,24,2,27,0,13,4,19690408,19690614,1969
hanel101,Haney,Larry,R,R,SE1,22,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,19690409,19690611,1969
harpt101,Harper,Tommy,R,R,SE1,148,0,0,0,0,0,59,59,0,4,22,1,27,0,8,1,19690408,19691002,1969
hegam101,Hegan,Mike,L,L,SE1,95,0,0,0,0,19,0,0,0,2,1,61,64,0,11,10,19690408,19691001,1969
hovls101,Hovley,Steve,L,L,SE1,91,0,0,0,0,0,0,0,0,3,35,49,84,0,8,1,19690626,19691002,1969
kennj105,Kennedy,John,R,R,SE1,61,0,0,0,0,0,0,23,33,0,0,0,0,0,6,9,19690409,19691002,1969
lockb102,Locker,Bob,B,R,SE1,51,51,0,51,0,0,0,0,0,0,0,0,0,0,0,0,19690610,19691002,1969
locks101,Lockwood,Skip,R,R,SE1,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,19690827,19690930,1969
lundg101,Lund,Gordy,R,R,SE1,20,0,0,0,0,0,1,1,17,0,0,0,0,0,0,3,19690704,19690808,1969
marsm101,Marshall,Mike,R,R,SE1,21,20,14,6,0,0,0,0,0,0,0,0,0,0,0,1,19690409,19690705,1969
mcnej101,McNertney,Jerry,R,R,SE1,128,0,0,0,122,0,0,0,0,0,0,0,0,0,9,0,19690408,19691002,1969
meyeb102,Meyer,Bob,R,L,SE1,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,19690830,19690921,1969
mincd101,Mincher,Don,L,R,SE1,140,0,0,0,0,122,0,0,0,0,0,0,0,0,19,0,19690408,19691001,1969
morrj106,Morris,John,R,L,SE1,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19690409,19690427,1969
odonj101,O'Donoghue,John,R,L,SE1,55,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,19690502,19690928,1969
oyler101,Oyler,Ray,R,R,SE1,106,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,19690408,19691002,1969
paglj101,Pagliaroni,Jim,R,R,SE1,40,0,0,0,29,2,0,0,0,0,0,1,1,0,11,0,19690624,19690930,1969
pattm101,Pattin,Marty,R,R,SE1,39,34,27,7,0,0,0,0,0,0,0,0,0,0,0,5,19690408,19690930,1969
ranem101,Ranew,Merritt,L,R,SE1,54,0,0,0,13,0,0,1,0,3,0,0,3,0,38,0,19690502,19690930,1969
roggg101,Roggenburk,Garry,R,L,SE1,7,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,19690627,19690727,1969
rollr101,Rollins,Rich,R,R,SE1,58,0,0,0,0,0,0,47,1,0,0,0,0,0,14,0,19690408,19690709,1969
segud101,Segui,Diego,R,R,SE1,66,66,8,58,0,0,0,0,0,0,0,0,0,0,0,0,19690408,19691001,1969
simpd102,Simpson,Dick,R,R,SE1,26,0,0,0,0,0,0,0,0,1,16,0,17,0,7,3,19690523,19690827,1969
stanf101,Stanley,Fred,R,R,SE1,17,0,0,0,0,0,1,0,15,0,0,0,0,0,1,1,19690911,19691002,1969
stepj103,Stephenson,Jerry,L,R,SE1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19690629,19690712,1969
talbf101,Talbot,Fred,R,R,SE1,27,25,16,9,0,0,0,0,0,0,0,0,0,0,2,0,19690524,19690828,1969
timbg101,Timberlake,Gary,R,L,SE1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19690618,19690624,1969
