ID,Country,State,City,Park Name,First,Last
ANN01,United States,Alabama,Anniston,,19400517,19410729
AXC01,United States,Alabama,Alexander City,,19480505,19490330
BIR01,United States,Alabama,Birmingham,Rickwood Field,19270919,20240620
DCA01,United States,Alabama,Decatur,Legion Field,19490818,19490921
DOT01,United States,Alabama,Dothan,Wiregrass Stadium,19480624,19480624
GAD01,United States,Alabama,Gadsden,,19350422,19460624
HUN01,United States,Alabama,Huntsville,Lincoln Park,19460807,19480515
LEE01,United States,Alabama,Leeds,,19380820,19380903
MOB01,United States,Alabama,Mobile,,19490403,19490403
MTG01,United States,Alabama,Montgomery,Cramton Bowl,19390803,19490929
OZA01,United States,Alabama,Ozark,,19490401,19490401
SEL01,United States,Alabama,Selma,Rowell Field,19390428,19390621
TUS01,United States,Alabama,Tuscaloosa,Alberta Park,19480726,19490714
ELD01,United States,Arkansas,El Dorado,,19400502,19400502
FTS01,United States,Arkansas,Fort Smith,,19480514,19480514
HEL01,United States,Arkansas,Helena,,19490905,19490905
HSP01,United States,Arkansas,Hot Springs,,19490505,19490628
JON01,United States,Arkansas,Jonesboro,,19410514,19490712
LRK01,United States,Arkansas,Little Rock,Crump Park,19380805,19390922
LRK02,United States,Arkansas,Little Rock,Travelers Field,19380511,19490729
MRA01,United States,Arkansas,Marianna,,19380516,19380516
PBL01,United States,Arkansas,Pine Bluff,,19400712,19420702
PHO01,United States,Arizona,Phoenix,Chase Field,19980331,20250925
ANA01,United States,California,Anaheim,Angel Stadium of Anaheim,19660419,20250928
BAK01,United States,California,Bakersfield,Sam Lynn Park,19461023,19461023
LGB01,United States,California,Long Beach,Recreation Park,19431017,19431017
LOS01,United States,California,Los Angeles,Los Angeles Memorial Coliseum,19580418,19610920
LOS02,United States,California,Los Angeles,Wrigley Field,19301029,19611001
LOS03,United States,California,Los Angeles,Dodger Stadium,19620410,20251029
LOS04,United States,California,Los Angeles,Gilmore Field,19391008,19431107
LOS05,United States,California,Los Angeles,White Sox Park,19251024,19441022
OAK01,United States,California,Oakland,Oakland-Alameda County Coliseum,19680417,20240926
OAK02,United States,California,Oakland,Oaks Park,19471016,19471016
SAC01,United States,California,Sacramento,,20250331,20250928
SAN01,United States,California,San Diego,Qualcomm Stadium,19690408,20030928
SAN02,United States,California,San Diego,Petco Park,20040408,20250928
SAN03,United States,California,San Diego,Lane Field,19421122,19481025
SFO01,United States,California,San Francisco,Seals Stadium,19441015,19590920
SFO02,United States,California,San Francisco,Candlestick Park,19600412,19990930
SFO03,United States,California,San Francisco,Oracle Park,20000411,20250928
DEN01,United States,Colorado,Denver,Mile High Stadium,19930409,19940811
DEN02,United States,Colorado,Denver,Coors Field,19950426,20250921
DEN03,United States,Colorado,Denver,Merchants Park,19361004,19480824
BRI01,United States,Connecticut,Bridgeport,Candlelite Stadium,19400723,19490602
HAR02,United States,Connecticut,Hartford,Bulkeley Stadium,19360810,19420914
STA01,United States,Connecticut,Stamford,Mitchell Field,19470503,19470701
WAS06,United States,D.C,Washington,Boundary Field,18980418,18991014
WAS07,United States,D.C,Washington,American League Park I,19010429,19030928
WAS08,United States,D.C,Washington,American League Park II,19040414,19101006
WAS09,United States,D.C,Washington,Griffith Stadium,19110412,19610921
WAS10,United States,D.C,Washington,Robert F Kennedy Stadium,19620409,20070923
WAS11,United States,D.C,Washington,Nationals Park,20080330,20250928
WIL03,United States,Delaware,Wilmington,Harlan Field,19211010,19261001
WIL04,United States,Delaware,Wilmington,Wilmington Park,19370518,19490815
WIL08,United States,Delaware,Wilmington,Pennsy Field,19360514,19390724
DTB01,United States,Florida,Daytona Beach,Cypress Street Park,19380408,19380408
DUN01,United States,Florida,Dunedin,TD Ballpark,20210408,20210524
