gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
CAL196904080,SE1,CAL,ANA01,19690408,0,,night,,,FALSE,,181,11930,unknown,unknown,unknown,65,unknown,-1,,,,chyln901,dimul901,neudj901,odonj901,,,pattm101,mcglj101,akerj102,regular,4,3,SE1,CAL,y,both,y,y,y,1969
CAL196904090,SE1,CAL,ANA01,19690409,0,,night,,,FALSE,,169,5347,unknown,unknown,unknown,0,unknown,-1,,,,dimul901,neudj901,odonj901,chyln901,,,borbp101,brabg101,wilhh101,regular,3,7,CAL,SE1,y,both,y,y,y,1969
SE1196904110,CHA,SE1,SEA01,19690411,0,2:16PM,day,,,FALSE,,147,14993,unknown,unknown,unknown,58,unknown,-1,,,,sprim901,denkd901,flahr901,stewb902,,,bellg102,horlj101,,regular,0,7,SE1,CHA,y,both,y,y,y,1969
SE1196904120,CHA,SE1,SEA01,19690412,0,,night,,,FALSE,,163,8319,unknown,unknown,unknown,53,unknown,-1,,,,denkd901,flahr901,stewb902,sprim901,,,segud101,ellis101,akerj102,regular,1,5,SE1,CHA,y,both,y,y,y,1969
SE1196904130,CHA,SE1,SEA01,19690413,0,,day,,,FALSE,,178,10031,unknown,unknown,unknown,0,unknown,-1,,,,flahr901,stewb902,denkd901,sprim901,,,woodw103,pattm101,,regular,12,7,CHA,SE1,y,both,y,y,y,1969
SE1196904140,KCA,SE1,SEA01,19690414,0,,night,,,FALSE,,158,3611,unknown,unknown,unknown,49,unknown,-1,,,,stewb902,sprim901,denkd901,flahr901,,,nelsr101,marsm101,wickd101,regular,2,1,KCA,SE1,y,both,y,y,y,1969
SE1196904160,MIN,SE1,SEA01,19690416,0,,night,,,FALSE,,203,7329,unknown,unknown,unknown,49,unknown,-1,,,,sprim901,denkd901,flahr901,stewb902,,,perrr101,akerj102,,regular,6,4,MIN,SE1,y,both,y,y,y,1969
CHA196904190,SE1,CHA,CHI10,19690419,0,,day,,,FALSE,,140,3901,unknown,unknown,unknown,0,unknown,-1,,,,barnl901,runge901,drumc901,odomj901,,,pattm101,peteg101,segud101,regular,5,1,SE1,CHA,y,both,y,y,y,1969
CHA196904201,SE1,CHA,CHI10,19690420,1,,day,,,FALSE,,161,0,unknown,unknown,unknown,64,unknown,-1,,,,runge901,drumc901,odomj901,barnl901,,,woodw103,segud101,,regular,2,3,CHA,SE1,y,both,y,y,y,1969
CHA196904202,SE1,CHA,CHI10,19690420,2,,day,,,FALSE,,138,12579,unknown,unknown,unknown,0,unknown,-1,,,,drumc901,odomj901,barnl901,runge901,,,horlj101,barbs102,lockb102,regular,3,13,CHA,SE1,y,both,y,y,y,1969
KCA196904210,SE1,KCA,KAN05,19690421,0,,night,,,FALSE,,146,9024,unknown,unknown,unknown,67,unknown,10,,,,nappl901,kunkb101,stevj901,goetr901,,,marsm101,jones101,akerj102,regular,4,1,SE1,KCA,y,both,y,y,y,1969
KCA196904220,SE1,KCA,KAN05,19690422,0,,night,,,FALSE,,145,9066,unknown,unknown,sunny,66,unknown,10,,,,kunkb101,stevj901,goetr901,nappl901,,,hedlm101,segud101,drabm101,regular,1,2,KCA,SE1,y,both,y,y,y,1969
KCA196904230,SE1,KCA,KAN05,19690423,0,,night,,,FALSE,,140,10267,unknown,unknown,unknown,58,unknown,8,,,,stevj901,goetr901,nappl901,kunkb101,,,mored103,edgeb101,,regular,3,4,KCA,SE1,y,both,y,y,y,1969
SE1196904250,OAK,SE1,SEA01,19690425,0,,night,,,FALSE,,170,6617,unknown,unknown,unknown,0,unknown,-1,,,,ricej901,goetr901,nappl901,kunkb101,,,nashj101,bellg102,,regular,14,2,OAK,SE1,y,both,y,y,y,1969
SE1196904260,OAK,SE1,SEA01,19690426,0,,night,,,FALSE,,173,6658,unknown,unknown,unknown,0,unknown,-1,,,,goetr901,nappl901,kunkb101,ricej901,,,barbs102,dobsc101,segud101,regular,3,6,SE1,OAK,y,both,y,y,y,1969
